リークアドレス,リークサイズ,保持時間
3105605442968,272,3870906
3105605439592,48,3870828
3105605443256,272,3870781
3105605443544,272,3870531
3105605444384,272,3870453
3105605425288,80,3870406
3105605425384,24,3870328
3105605425424,24,3870281
3105605425464,80,3870203
3105605444672,272,3870140
3105605443832,48,3870031
3105605443896,272,3869969
3105605444960,472,3869906
3105605445448,272,3869844
3105605445736,272,3869781
3105605444184,48,3869719
3105605446024,272,3869656
3105605446312,272,3869406
3105605447152,272,3869344
3105605444248,80,3869297
3105605444344,24,3869219
3105605447440,24,3869156
3105605447480,80,3869094
3105605447576,272,3869031
3105605447864,48,3868984
3105605447928,48,3868609
3105605447992,48,3868484
3105605448096,24,3868359
3105605448056,24,3868172
3105605448192,24,3868109
3105605448136,24,3867922
3105605448304,24,3867859
3105605448344,24,3867797
3105605448384,24,3867734
3105605448528,24,3867234
3105605448568,48,3867172
3105605448464,24,3866984
3105605448424,24,3866797
3105605448688,24,3866750
3105605448800,48,3866000
3105605448864,48,3865937
3105605448728,24,3865750
3105605448984,24,3865547
3105605449200,48,3864937
3105605449264,48,3864797
3105605448928,24,3864625
3105605449384,24,3864453
3105605448632,24,3864375
3105605449600,144,3863390
3105605449096,48,3863265
3105605449328,24,3863062
3105605449160,24,3862890
3105605449424,24,3862828
3105605449536,24,3862640
3105605449024,24,3862562
3105605449760,24,3862515
3105605449800,24,3862453
3105605449944,80,3862250
3105605449464,32,3861765
3105605450720,48,3861703
3105605450784,112,3861640
3105605450912,200,3861578
3105605451128,80,3861515
3105605451224,48,3861453
3105605449840,48,3861015
3105605451288,144,3860890
3105605446600,32,3860765
3105605446648,80,3860703
3105605446744,48,3860640
3105605446808,48,3860578
3105605451448,272,3860515
3105605451736,472,3860453
3105605452224,272,3860390
3105605452512,272,3860328
3105605446872,48,3860265
3105605452800,272,3860203
3105605453088,272,3859953
3105605453928,272,3859890
3105605446936,80,3859828
3105605449904,24,3859765
3105605447032,24,3859703
3105605454216,80,3859640
3105605454312,272,3859578
3105605447072,48,3859531
3105605454600,48,3859140
3105605454664,48,3859015
3105605454768,24,3858890
3105605454728,24,3858719
3105605454864,24,3858656
3105605454808,24,3858484
3105605454976,24,3858422
3105605455016,24,3858344
3105605455056,24,3858297
3105605455200,24,3857781
3105605455240,48,3857719
3105605455136,24,3857547
3105605455096,24,3857359
3105605455360,24,3857297
3105605455472,48,3856547
3105605455536,48,3856484
3105605455400,24,3856297
3105605455656,24,3856125
3105605455872,48,3855500
3105605455936,48,3855359
3105605455600,24,3855172
3105605456056,24,3855000
3105605455304,24,3854922
3105605456272,144,3853937
3105605455768,48,3853812
3105605456000,24,3853625
3105605455832,24,3853437
3105605456096,24,3853375
3105605456208,24,3853203
3105605455696,24,3853125
3105605456432,24,3853062
3105605456472,24,3853015
3105605456616,80,3852812
3105605456136,32,3852312
3105605457392,48,3852250
3105605457456,112,3852187
3105605457584,200,3852125
3105605457800,80,3852062
3105605457896,48,3852000
3105605456512,48,3851562
3105605457960,144,3851437
3105605453376,144,3851187
3105605456712,80,3851140
3105605453536,80,3851062
3105605453632,80,3850953
3105605453728,144,3850890
3105605456808,144,3850828
3105605456968,80,3850765
3105605454904,48,3850703
3105605457064,80,3850640
3105605457160,144,3850578
3105605458120,144,3850515
3105605458280,80,3850453
3105605458376,80,3850390
3105605457320,32,3850328
3105605458472,80,3850265
3105605458568,48,3850203
3105605458632,48,3850140
3105605458696,144,3850078
3105605458856,48,3850015
3105605448232,48,3849765
3105605450040,272,3849703
3105605458920,472,3849640
3105605450328,272,3849578
3105605459408,272,3849515
3105605450616,48,3849453
3105605459696,272,3849390
3105605459984,272,3849140
3105605460824,272,3849078
3105605461112,80,3849015
3105605456576,24,3848953
3105605450680,24,3848890
3105605461208,80,3848828
3105605461304,272,3848765
3105605461592,48,3848719
3105605461744,48,3848328
3105605461656,48,3848219
3105605461808,24,3848094
3105605453888,24,3847906
3105605461904,24,3847844
3105605461848,24,3847640
3105605462016,24,3847594
3105605462056,24,3847531
3105605462096,24,3847484
3105605462240,24,3846984
3105605462280,48,3846922
3105605462176,24,3846734
3105605462136,24,3846547
3105605462400,24,3846484
3105605462512,48,3845750
3105605462576,48,3845687
3105605462440,24,3845500
3105605462696,24,3845312
3105605462912,48,3844687
3105605462976,48,3844562
3105605462640,24,3844375
3105605463096,24,3844187
3105605462344,24,3844125
3105605463312,144,3843140
3105605463040,40,3843015
3105605462808,48,3842953
3105605463136,48,3842890
3105605462736,24,3842703
3105605462872,24,3842515
3105605463256,24,3842453
3105605463200,24,3842281
3105605463544,24,3842203
3105605463584,24,3842140
3105605463624,24,3842078
3105605464328,80,3841890
3105605463472,32,3841406
3105605464528,48,3841344
3105605464592,112,3841281
3105605464720,200,3841219
3105605464936,80,3841156
3105605465032,48,3841094
3105605463664,48,3840656
3105605465096,48,3840531
3105605465160,24,3840422
3105605463728,24,3840172
3105605465256,24,3840109
3105605465200,24,3839922
3105605465368,24,3839859
3105605465408,24,3839797
3105605465448,24,3839734
3105605465296,24,3839547
3105605465592,24,3839484
3105605465632,24,3839422
3105605465672,80,3838672
3105605465768,48,3838547
3105605464464,24,3838375
3105605464424,24,3838187
3105605465544,24,3838125
3105605465488,24,3837937
3105605466208,24,3837875
3105605466248,24,3837812
3105605466288,24,3837750
3105605466136,24,3837562
3105605466432,24,3837500
3105605466472,80,3837437
3105605466568,144,3836562
3105605466728,48,3836500
3105605466792,48,3836375
3105605466328,48,3835937
3105605466856,32,3835812
3105605466904,80,3835750
3105605465832,48,3835687
3105605467584,80,3835437
3105605466392,24,3835375
3105605467680,80,3835312
3105605467776,24,3835000
3105605467816,24,3834937
3105605465896,80,3834875
3105605465992,24,3834812
3105605466032,80,3834750
3105605468040,80,3834703
3105605468136,24,3833765
3105605468896,144,3833703
3105605469056,48,3833265
3105605468176,472,3833015
3105605469120,48,3832953
3105605467856,48,3832890
3105605470064,272,3832828
3105605470352,272,3832594
3105605471192,272,3832515
3105605471480,272,3832453
3105605467920,24,3832390
3105605467960,24,3832328
3105605471768,272,3832265
3105605472056,272,3832203
3105605468664,48,3832140
3105605468728,24,3832015
3105605468000,24,3831828
3105605468824,24,3831765
3105605468768,24,3831578
3105605472416,24,3831515
3105605472456,24,3831469
3105605472496,24,3831390
3105605472344,24,3831219
3105605472640,24,3831156
3105605472680,80,3830406
3105605472776,48,3830265
3105605472576,24,3830078
3105605472536,24,3829906
3105605467056,24,3829844
